번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모
274,관광펜션업,03_11_02_P,4510000,CDFI3261092018000002,2018-07-24,,01,영업/정상,13,영업중,,,,,,,,충청남도 보령시 신흑동 2256-4번지,충청남도 보령시 해수욕장9길 2-27 (신흑동),33489,숨펜션,2018-07-24 10:57,I,2018-08-31 23:59,,156124.3277,313010.5645,관광펜션업,,관리지역,3,기타,,,숙박시설,3,1,,,Soom Pension,Tourism Pension,,,,,,,,498.29,,,,,,,,,1000000000,,,,498
275,관광펜션업,03_11_02_P,4510000,CDFI3261092015000007,2015-06-18,,01,영업/정상,13,영업중,,,,,041-589-3300,,355-884,"충청남도 보령시 남포면 월전리 산 154-1번지 101, 204동","충청남도 보령시 남포면 남포방조제로 408-52, 101, 204동",33501,한국컴퓨터(주),2018-01-29 13:07,I,2018-08-31 23:59,,,,관광펜션업,,관리지역,2,기타,,,숙박시설,2,,,,Korea Computer Inc.,Tourism Pension,,,,,,,,385.4,,,,,,,,,8035000000,,,,385
276,관광펜션업,03_11_02_P,4620000,CDFI3261092006000002,2006-11-14,,01,영업/정상,13,영업중,,,,,,,,충청남도 태안군 남면 양잠리 1230-66번지,충청남도 태안군 남면 안면대로 1296-40,32155,빨간풍선,2020-01-10 13:56,U,2020-01-12 2:40,,137693.9154,349136.7948,관광펜션업,,관리지역,,기타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,관광펜션업,03_11_02_P,4620000,CDFI3261092008000004,2008-06-12,,01,영업/정상,13,영업중,,,,,,,,충청남도 태안군 남면 원청리 512-31번지,충청남도 태안군 남면 청포대길 57-34,32157,팜비치,2020-01-10 13:57,U,2020-01-12 2:40,,137473.1289,348729.8715,관광펜션업,,관리지역,,,,,숙박시설,,,,,,,,,,,,,,425.46,,,,,,,,,,,,,425
278,관광펜션업,03_11_02_P,4620000,CDFI3261092008000006,2008-12-04,,01,영업/정상,13,영업중,,,,,041-6575-8634,,,충청남도 태안군 남면 양잠리 1230-11번지,충청남도 태안군 남면 청포대길 104,32155,레이,2017-03-13 15:08,I,2018-08-31 23:59,,137503.3042,349340.0382,관광펜션업,,관리지역,4,,,,숙박시설,3,1,,,,,,,,,,,,658.14,,,,,,,,,,,,,658
279,관광펜션업,03_11_02_P,4620000,CDFI3261092008000008,2008-06-12,,01,영업/정상,13,영업중,,,,,,,,충청남도 태안군 남면 양잠리 1230-18,충청남도 태안군 남면 청포대길 96,32155,나폴리,2021-11-10 8:58,U,2021-11-12 2:40,,137518.8662,349280.5114,관광펜션업,,관리지역,3,,,,숙박시설,3,,,,,,,,,,,,,790.78,,,,,,,,,,,,,791
280,관광펜션업,03_11_02_P,4620000,CDFI3261092008000009,2008-06-12,,01,영업/정상,13,영업중,,,,,041-674-0321,,,충청남도 태안군 안면읍 정당리 1300-3번지,충청남도 태안군 안면읍 해안관광로 510-5 (장꽁펜션),32163,장꽁(카멜리아),2017-03-13 15:20,I,2018-08-31 23:59,,140014.4602,338468.5886,관광펜션업,,관리지역,1,,,,숙박시설,1,,,,,,,,,,,,,93.92,,,,,,,,,,,,,94
281,관광펜션업,03_11_02_P,4620000,CDFI3261092009000002,2009-05-29,,01,영업/정상,13,영업중,,,,,041-672-2657,,,충청남도 태안군 남면 신장리 353-41번지,충청남도 태안군 남면 몽산포길 67-34,32153,아라,2017-03-13 14:04,I,2018-08-31 23:59,,136150.4754,352483.6869,관광펜션업,,,3,,,,숙박시설,3,,,,,,,,,,,,,287.82,,,,,,,,,,,,,288
282,관광펜션업,03_11_02_P,4620000,CDFI3261092010000001,2010-05-11,,01,영업/정상,13,영업중,,,,,,,357-952,충청남도 태안군 남면 원청리 512-20번지,충청남도 태안군 남면 청포대길 29,,청포대하와이,2011-07-19 17:01,I,2018-08-31 23:59,,137722.8666,348843.6234,관광펜션업,,관리지역,1,주택가주변,,,여인숙,1,,,,,,,,,,,,,334.99,,,,,,,,,2000000000,,,,335
283,관광펜션업,03_11_02_P,4620000,CDFI3261092010000003,2010-07-27,,01,영업/정상,13,영업중,,,,,041-673-1587,,357-942,충청남도 태안군 근흥면 도황리 346-16번지,충청남도 태안군 근흥면 용도로 99,32130,연포펜션,2019-05-01 11:02,U,2019-05-03 2:40,,129350.6439,355210.2553,관광펜션업,,자연녹지지역,3,기타,,,숙박시설,3,0,,,,,,,,,,,,614.88,,,,,,,,,400000000,,,,615
284,관광펜션업,03_11_02_P,4620000,CDFI3261092010000005,2010-08-05,,01,영업/정상,13,영업중,,,,,041-674-1496,,357-953,충청남도 태안군 남면 신온리 952-19,충청남도 태안군 남면 마검포길 313-40,,풀빌라 린더버그,2022-04-05 14:15,U,2022-04-07 2:40,,136499.2776,345498.2569,관광펜션업,,관리지역,3,기타,,,숙박시설,3,,,,,,,,,,,,,559.29,,,,,,,,,1445438120,,,,559
285,관광펜션업,03_11_02_P,4620000,CDFI3261092006000001,2006-06-12,,01,영업/정상,13,영업중,,,,,041-674-4100,,,충청남도 태안군 남면 양잠리 1230-19번지,충청남도 태안군 남면 청포대길 94,32155,화가의정원,2020-01-10 13:55,U,2020-01-12 2:40,,137523.6112,349262.6825,관광펜션업,,관리지역,,기타,,,,,,,,Pension A.G,Tourist Pension,,,,,,,,,,,,,,,,,,,,,
286,관광펜션업,03_11_02_P,4620000,CDFI3261092008000001,2008-01-15,,01,영업/정상,13,영업중,,,,,041-674-0321,,357-963,충청남도 태안군 안면읍 정당리 1314-7번지,충청남도 태안군 안면읍 해안관광로 510-5,32163,장꽁펜션,2015-05-22 15:58,I,2018-08-31 23:59,,139958.0229,338353.8394,관광펜션업,,,,,,,,,,,,,,,,,,,,,297,,,,,,,,,,,,,297
287,관광펜션업,03_11_02_P,4620000,CDFI3261092008000002,2008-02-20,,01,영업/정상,13,영업중,,,,,041-674-5988,,,충청남도 태안군 남면 양잠리 1230-15,충청남도 태안군 남면 청포대길 98,32155,가장자리,2021-11-10 8:59,U,2021-11-12 2:40,,137514.1515,349298.4294,관광펜션업,,,,,,,,,,,,,,,,,,,,,673,,,,,,,,,,,,,673
288,관광펜션업,03_11_02_P,4620000,CDFI3261092008000003,2008-05-29,,01,영업/정상,13,영업중,,,,,041-673-0515,,,충청남도 태안군 고남면 장곡리 403-18번지,충청남도 태안군 고남면 큰장돌길 141-98 (지중해아침),32170,지중해아침1,2017-03-13 14:18,I,2018-08-31 23:59,,143550.2134,323889.2191,관광펜션업,,관리지역,3,기타,,,숙박시설,3,0,,,,,,,,,,,,522.84,,,,,,,,,,,,,523
289,관광펜션업,03_11_02_P,4530000,CDFI3261092011000001,2011-09-30,,01,영업/정상,13,영업중,,,,,041-663-0890,,356-835,충청남도 서산시 운산면 고풍리 166-2번지,충청남도 서산시 운산면 봉운로 982-13,356-835,백제의 미소,2014-02-27 10:52,I,2018-08-31 23:59,,166076.3906,363214.3847,관광펜션업,,관리지역,1,기타,,,숙박시설,,,,,,,,,,,,,,1000,,,,,,,,,150000000,,,,1000
290,관광펜션업,03_11_02_P,4620000,CDFI3261092010000006,2010-08-05,,01,영업/정상,13,영업중,,,,,041-675-7273,,357-922,충청남도 태안군 이원면 내리 584-16,충청남도 태안군 이원면 원이로 2492,,별궁,2021-08-03 10:22,U,2021-08-05 2:40,,137711.2603,382355.1528,관광펜션업,,관리지역,1,기타,,,숙박시설,1,1,0,0,,,0,0,,0,0,,0,789.01,,0,,,,,,,1514000000,,,,789
291,관광펜션업,03_11_02_P,4620000,CDFI3261092010000007,2010-08-06,,01,영업/정상,13,영업중,,,,,041-674-8010,,,충청남도 태안군 남면 신온리 952-5번지 엘도라도,"충청남도 태안군 남면 마검포길 331, 엘도라도",32158,엘도라도,2019-01-02 17:36,U,2019-01-04 2:40,,136466.5112,345851.6109,관광펜션업,,관리지역,3,기타,,,숙박시설,3,,,,,,,,,,,,,520.62,,,,,,,,,400000000,,,,521
292,관광펜션업,03_11_02_P,4620000,CDFI3261092017000010,2008-05-29,,01,영업/정상,13,영업중,,,,,,,,충청남도 태안군 고남면 장곡리 403-17번지 지중해아침,충청남도 태안군 고남면 큰장돌길 141-98,32170,지중해아침2,2020-01-10 13:58,U,2020-01-12 2:40,,143547.4529,323923.9576,관광펜션업,,관리지역,3,,,,숙박시설,3,,,,,,,,,,,,,612.74,,,,,,,,,,,,,613
293,관광펜션업,03_11_02_P,4620000,CDFI3261092012000004,2012-08-22,,01,영업/정상,13,영업중,,,,,,,357-912,충청남도 태안군 원북면 신두리 1414-4번지,충청남도 태안군 원북면 신두해변길 135,,마로니에 펜션,2017-09-08 17:19,I,2018-08-31 23:59,,127104.5171,370871.9453,관광펜션업,,관리지역,2,기타,,,숙박시설,2,,,,Marronnier,Tourist pension,,,,,,,,385.54,,,,,,,,,50000000,,,,386
294,관광펜션업,03_11_02_P,4620000,CDFI3261092012000006,2012-05-17,,01,영업/정상,13,영업중,,,,,041-673-7785,,,충청남도 태안군 남면 몽산리 661-9번지,충청남도 태안군 남면 몽대로 512-17,32152,파도소리,2020-05-15 10:24,U,2020-05-17 2:40,,134671.35,352782.0605,관광펜션업,,관리지역,3,,,,숙박시설,3,,,,,,,,,,,,,408.41,,,,,,,,,,,,,408
295,관광펜션업,03_11_02_P,4620000,CDFI3261092014000001,2014-07-08,,01,영업/정상,13,영업중,,,,,,,357-972,충청남도 태안군 고남면 장곡리 141-1번지,충청남도 태안군 고남면 안면대로 3741-119,32170,모석원 (Moseokwon),2019-05-14 11:04,U,2019-05-16 2:40,,145182.3958,328338.1823,관광펜션업,,관리지역,2,기타,,,숙박시설,2,,,,,,,,,,,,,979,,,,,,,,,300000000,,,,979
296,관광펜션업,03_11_02_P,4620000,CDFI3261092010000008,2010-08-17,,01,영업/정상,13,영업중,,,,,,,357-952,충청남도 태안군 남면 원청리 562-16번지,충청남도 태안군 남면 별주부길 116,,소나무 풍경,2010-08-17 15:15,I,2018-08-31 23:59,,137638.3549,348338.9859,관광펜션업,,관리지역,2,기타,,,숙박시설,2,1,,,,,,,,,,,,340.54,,,,,,,,,700000000,,,,341
297,관광펜션업,03_11_02_P,4620000,CDFI3261092010000011,2010-12-02,,01,영업/정상,13,영업중,,,,,,,357-963,충청남도 태안군 안면읍 정당리 968-5번지,충청남도 태안군 안면읍 안면대로 2608-72,,파인웰스,2010-12-02 14:57,I,2018-08-31 23:59,,141819.8811,337990.3346,관광펜션업,,관리지역,2,기타,,,숙박시설,,,,,,,,,,,,,,446.15,,,,,,,,,,,,,446
298,관광펜션업,03_11_02_P,4620000,CDFI3261092010000012,2010-12-06,,01,영업/정상,13,영업중,,,,,674-8529,,357-952,충청남도 태안군 남면 원청리 512-131번지,충청남도 태안군 남면 청포대길 57-38,,칸타빌레,2010-12-06 17:53,I,2018-08-31 23:59,,137481.1802,348681.2425,관광펜션업,,자연녹지지역,4,,,,숙박시설,3,1,,,,,,,,,,,,998.96,,,,,,,,,500000000,,,,999
299,관광펜션업,03_11_02_P,4620000,CDFI3261092011000001,2011-02-22,,01,영업/정상,13,영업중,,,,,,,357-907,충청남도 태안군 태안읍 삭선리 340-14번지,충청남도 태안군 태안읍 원이로 254-21,,관관농원 백화원,2018-07-26 18:02,I,2018-08-31 23:59,,135804.3176,364541.7876,관광펜션업,,관리지역,1,기타,,,숙박시설,1,,,,Tourist Plantation Cantabile,Tourist Pension,,,,,,,,1092.64,,,,,,,,,,,,,1093
300,관광펜션업,03_11_02_P,4620000,CDFI3261092011000002,2011-07-11,,01,영업/정상,13,영업중,,,,,,,357-952,충청남도 태안군 남면 양잠리 1230-86번지,충청남도 태안군 남면 안면대로 1296-36,,소소,2011-07-11 14:27,I,2018-08-31 23:59,,137708.2989,349206.5868,관광펜션업,,관리지역,2,기타,,,숙박시설,2,0,,,,,,,,,,,,246.97,,,,,,,,,100000000,,,,247
301,관광펜션업,03_11_02_P,4620000,CDFI3261092011000004,2011-09-23,,01,영업/정상,13,영업중,,,,,,,357-952,충청남도 태안군 남면 원청리 512-33번지,충청남도 태안군 남면 청포대길 57-36,,그녀의 바다,2011-09-23 15:44,I,2018-08-31 23:59,,137479.0638,348698.9015,관광펜션업,,,4,기타,,,숙박시설,3,1,,,,,,,,,,,,993.09,,,,,,,,,,,,,993
302,관광펜션업,03_11_02_P,4620000,CDFI3261092012000002,2012-05-25,,01,영업/정상,13,영업중,,,,,,,357-913,충청남도 태안군 원북면 청산리,충청남도 태안군 원북면 나루터길 3118-7,357-913,더큐브하우스리조트,2017-09-08 17:19,I,2018-08-31 23:59,,,,관광펜션업,,관리지역,2,,,,,2,,,,,,,,,,,,,742.25,,,,,,,,,,,,,742
303,관광펜션업,03_11_02_P,5330000,CDFI3261092022000001,2022-03-24,,01,영업/정상,13,영업중,,,,,,,,경상남도 통영시 산양읍 풍화리 1491-1 2층,"경상남도 통영시 산양읍 풍화일주로 772, 2층",53080,고다 하우스,2022-03-24 17:44,I,2022-03-26 0:22,,322850.2359,148946.2442,관광펜션업,,관리지역,2,기타,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,84.01,,0,,,,,,,300000000,,,,84
304,관광펜션업,03_11_02_P,5010000,CDFI3261092018000002,2018-12-27,,01,영업/정상,13,영업중,,,,,,,,전라남도 신안군 압해읍 학교리 336-14번지,전라남도 신안군 압해읍 학동길 44-4,58824,소풍펜션,2018-12-27 14:39,I,2018-12-29 2:20,,137437.5998,152418.6545,관광펜션업,,관리지역,2,주택가주변,,,숙박시설,2,0,,,,,,,,,,,,260.76,,,,,,,,,200000000,,,,261
305,관광펜션업,03_11_02_P,3570000,CDFI3261092019000001,2019-01-17,,01,영업/정상,13,영업중,,,,,,,,인천광역시 강화군 화도면 내리 1793,인천광역시 강화군 화도면 해안남로 2850-1,23060,소고펜션,2021-03-19 8:39,U,2021-03-21 2:40,,146284.3371,459667.4998,관광펜션업,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
306,관광펜션업,03_11_02_P,5440000,CDFI3261092019000001,2019-01-23,,01,영업/정상,13,영업중,,,,,,,,경상남도 하동군 북천면 방화리 618번지,"경상남도 하동군 북천면 경서대로 1943-15, 하늘꼬마키즈풀빌라",52317,하늘꼬마키즈풀빌라,2020-03-31 9:10,U,2020-04-02 2:40,,277013.378,180076.2777,관광펜션업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,관광펜션업,03_11_02_P,5380000,CDFI3261092019000001,2019-02-19,,01,영업/정상,13,영업중,,,,,0553670166,,,경상남도 양산시 원동면 대리 988-2,경상남도 양산시 원동면 어실로 1400,50584,록수산장,2023-11-22 15:34,U,2023-11-24 2:40,,379224.1472,217908.1758,관광펜션업,,,0,,,,,1,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
308,관광펜션업,03_11_02_P,5020000,CDFI3261092019000001,2019-01-28,,01,영업/정상,13,영업중,,,,,,,,경상북도 포항시 남구 장기면 두원리 82번지,경상북도 포항시 남구 장기면 동해안로 2788,37947,보드레펜션,2020-01-29 17:07,U,2020-01-31 2:40,,427464.7689,263706.7759,관광펜션업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,관광펜션업,03_11_02_P,5330000,CDFI3261092019000001,2019-03-22,,01,영업/정상,13,영업중,,,,,,,,경상남도 통영시 산양읍 남평리 1359-4번지,경상남도 통영시 산양읍 산양일주로 1690,53084,1359펜션,2019-03-25 9:29,U,2019-03-27 2:40,,326893.7517,145963.1336,관광펜션업,,,2,,,,단독주택,2,,,,,,,,,,,,,,,,,,,,,,350000000,,,,
310,관광펜션업,03_11_02_P,5010000,CDFI3261092019000001,2019-01-09,,01,영업/정상,13,영업중,,,,,,,,전라남도 신안군 압해읍 학교리 336-14번지,전라남도 신안군 압해읍 학동길 44-4,58824,소풍펜션,2019-01-09 15:50,I,2019-01-11 2:20,,137437.5998,152418.6545,관광펜션업,,관리지역,2,기타,,,숙박시설,2,0,,,,,,,,,,,,356.92,,,,,,,,,200000000,,,,357
311,관광펜션업,03_11_02_P,4510000,CDFI3261092019000001,2019-03-05,,01,영업/정상,13,영업중,,,,,041-933-2303,,,충청남도 보령시 신흑동 2303-9번지,충청남도 보령시 고잠2길 12-11 (신흑동),33488,동그라미 펜션,2019-04-08 10:57,U,2019-04-10 2:40,,156505.3882,312431.7944,관광펜션업,,관리지역,3,,,,숙박시설,3,,,,,,,,,,,,,130.22,,,,,,,,,,,,,130
312,관광펜션업,03_11_02_P,5090000,CDFI3261092019000002,2019-03-25,,01,영업/정상,13,영업중,,,,,,,,경상북도 영주시 아지동 445-12번지,경상북도 영주시 회헌로358번길 25 (아지동),36054,아지펜션,2019-03-25 15:25,I,2019-03-27 2:20,,343243.3397,374501.7422,관광펜션업,,관리지역,2,,,,단독주택,2,,,,,,,,,,,,,229.52,,,,,,,,,100000000,,,,230
313,관광펜션업,03_11_02_P,5120000,CDFI3261092022000001,2022-04-25,,01,영업/정상,13,영업중,,,,,054-553-9267,,,경상북도 문경시 동로면 생달리 437,경상북도 문경시 동로면 안생달길 153-26,36902,산모롱이민박,2022-07-08 16:56,U,2022-07-12 2:40,,311687.3558,368280.3698,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,192.73,,0,,,,,,,0,,,,193
314,관광펜션업,03_11_02_P,4160000,CDFI3261092023000010,2023-08-30,,01,영업/정상,13,영업중,,,,,,,,경기도 가평군 상면 덕현리 산 63-141,경기도 가평군 상면 윗다원길 65-142,12446,빌라누트,2023-08-30 15:19,I,2023-09-01 0:18,,236063.0859,473106.5109,관광펜션업,,,1,,,,단독주택,1,0,0,0,,,0,0,,0,0,,0,188.68,,0,,,,,,,2000000000,,,,189
315,관광펜션업,03_11_02_P,5430000,CDFI3261092023000005,2023-08-30,,01,영업/정상,13,영업중,,,,,,,,경상남도 남해군 서면 작장리 545-5,경상남도 남해군 서면 남서대로 1965-54,52409,호텔 치유,2023-08-30 9:38,I,2023-09-01 0:18,,274673.1128,148165.0139,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
316,관광펜션업,03_11_02_P,4160000,CDFI3261092023000011,2023-08-31,,01,영업/정상,13,영업중,,,,,,,,경기도 가평군 상면 행현리 481-25,경기도 가평군 상면 수목원로 238-99,12448,레브,2023-08-31 17:52,I,2023-09-02 0:18,,231443.5809,472930.2482,관광펜션업,,,2,,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
317,관광펜션업,03_11_02_P,4930000,CDFI3261092023000002,2023-08-24,,01,영업/정상,13,영업중,,,,,,,,전라남도 해남군 삼산면 구림리 785-4,전라남도 해남군 삼산면 고산로 767-19,59047,라포레메종,2023-08-24 10:45,I,2023-08-26 0:18,,164167.4908,111478.4433,관광펜션업,,,2,,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,88.02,,0,,,,,,,0,,,,88
318,관광펜션업,03_11_02_P,5120000,CDFI3261092023000001,2023-08-31,,01,영업/정상,13,영업중,,,,,,,,경상북도 문경시 동로면 적성리 460,경상북도 문경시 동로면 금천로 2466-28,36903,장미회관,2023-08-31 13:14,I,2023-09-02 0:18,,317725.3607,363583.2187,관광펜션업,,,2,,,,단독주택,0,0,0,0,,,0,0,,0,0,,0,155.52,,0,,,,,,,0,,,,156
319,관광펜션업,03_11_02_P,4930000,CDFI3261092023000001,2023-08-03,,01,영업/정상,13,영업중,,,,,,,,전라남도 해남군 삼산면 구림리 726-8,전라남도 해남군 삼산면 고산로 767-17,59047,수희재,2023-08-03 10:14,I,2023-08-05 0:18,,164245.2693,111521.4912,관광펜션업,,,1,,,,단독주택,1,0,0,0,Suheejae,The tourism pension industry,0,0,,0,0,,0,81.9,,0,,,,,,,0,,,,82
320,관광펜션업,03_11_02_P,4810000,CDFI3261092023000002,2023-08-16,,01,영업/정상,13,영업중,,,,,,,,전라남도 여수시 화양면 이목리 512,전라남도 여수시 화양면 화서로 150-43,59653,여운향 풀빌라,2023-08-16 12:39,I,2023-08-18 0:18,,251941.0043,128202.1208,관광펜션업,,,2,기타,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,148.16,,0,,,,,,,0,,,,148
321,관광펜션업,03_11_02_P,4810000,CDFI3261092023000003,2023-08-16,,01,영업/정상,13,영업중,,,,,,,,전라남도 여수시 화양면 이목리 512,전라남도 여수시 화양면 화서로 150-45,59653,스테이 여운향,2023-08-16 12:40,I,2023-08-18 0:18,,251941.0043,128202.1208,관광펜션업,,일반주거지역,2,기타,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,192.24,,0,,,,,,,0,,,,192
322,관광펜션업,03_11_02_P,5050000,CDFI3261092023000012,2023-08-28,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 보문동 531-7,경상북도 경주시 보문마을4길 23 (보문동),38175,라움 더 한옥 풀빌라,2023-08-28 9:16,I,2023-08-30 0:18,,403660.0756,261501.3235,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,219.69,,0,,,,,,,0,,,,220
323,관광펜션업,03_11_02_P,5120000,CDFI3261092023000002,2023-09-08,,01,영업/정상,13,영업중,,,,,,,,경상북도 문경시 가은읍 왕능리 335-17,경상북도 문경시 가은읍 양산개5길 5,36996,고결 문경,2023-09-08 8:35,I,2023-09-10 0:18,,295132.7617,349596.9085,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
324,관광펜션업,03_11_02_P,4170000,CDFI3261092023000003,2023-08-11,,01,영업/정상,13,영업중,,,,,,,,경기도 양평군 용문면 조현리 293-13,경기도 양평군 용문면 장뜰길46번길 13-12,12511,주식회사 그라지타운,2023-08-11 17:24,I,2023-08-13 0:18,,253755.787,446370.9607,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,1200000000,,,,0
325,관광펜션업,03_11_02_P,5690000,CDFI3261092023000002,2023-06-30,,01,영업/정상,13,영업중,,,,,,,,세종특별자치시 장군면 금암리 367-12 청벽비발디,"세종특별자치시 장군면 금송로 161, 청벽비발디",30056,위드펜션,2023-06-30 15:17,I,2023-07-02 0:19,,219320.2034,326378.8325,관광펜션업,,,2,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
326,관광펜션업,03_11_02_P,4540000,CDFI3261092023000001,2023-08-14,,01,영업/정상,13,영업중,,,,,,,,충청남도 논산시 양촌면 오산리 57,충청남도 논산시 양촌면 바랑산1길 188-12,33025,벤자민,2023-08-14 11:30,I,2023-08-17 0:18,,225288.5958,292563.8,관광펜션업,,,2,,,,단독주택,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
327,관광펜션업,03_11_02_P,4170000,CDFI3261092023000002,2023-07-27,,01,영업/정상,13,영업중,,,,,,,,경기도 양평군 강하면 동오리 496,경기도 양평군 강하면 동문3길 22-13,12577,산온잔등,2023-07-27 11:12,I,2023-07-29 0:18,,234416.5223,439622.5711,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
328,관광펜션업,03_11_02_P,5050000,CDFI3261092023000010,2023-07-27,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 양남면 수렴리 208-4,경상북도 경주시 양남면 양남로 170,38220,구공스테이 경주,2023-07-27 17:30,I,2023-07-29 0:18,,422416.0043,243549.8325,관광펜션업,,,1,,,,단독주택,0,0,0,0,,,0,0,,0,0,,0,104.22,,0,,,,,,,100000000,,,,104
329,관광펜션업,03_11_02_P,5050000,CDFI3261092023000011,2023-07-27,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 서면 운대리 981-3,경상북도 경주시 서면 군실길 121-1,38052,하유일기,2023-07-27 17:30,I,2023-07-29 0:18,,,,관광펜션업,,,0,,,,단독주택,0,0,0,0,,,0,0,,0,0,,0,146.29,,0,,,,,,,500000000,,,,146
330,관광펜션업,03_11_02_P,5220000,CDFI3261092023000002,2023-08-22,,01,영업/정상,13,영업중,,,,,,,,경상북도 칠곡군 왜관읍 봉계리 505-10,경상북도 칠곡군 왜관읍 봉계로 244,39870,위드패밀리 C동,2023-11-20 17:36,U,2023-11-22 2:40,,330392.0779,278220.2485,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
331,관광펜션업,03_11_02_P,5220000,CDFI3261092023000003,2023-08-22,,01,영업/정상,13,영업중,,,,,,,,경상북도 칠곡군 왜관읍 봉계리 505-9,경상북도 칠곡군 왜관읍 봉계로 246,39870,위드패밀리,2023-11-20 17:38,U,2023-11-22 2:40,,330406.9919,278244.4438,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
332,관광펜션업,03_11_02_P,5220000,CDFI3261092023000004,2023-08-22,,01,영업/정상,13,영업중,,,,,,,,경상북도 칠곡군 왜관읍 봉계리 505-8,경상북도 칠곡군 왜관읍 봉계로 248,39870,위드패밀리 A동,2023-11-20 17:48,U,2023-11-22 2:40,,330402.6282,278260.8494,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
333,관광펜션업,03_11_02_P,3630000,CDFI3261092023000001,2023-07-31,,01,영업/정상,13,영업중,,,,,,,,광주광역시 광산구 박호동 418,"광주광역시 광산구 박뫼길 11-6, 3층 (박호동)",62398,스테이더아람B,2023-07-31 17:30,I,2023-08-02 0:18,,176540.2396,185508.9718,관광펜션업,,,3,,,,,3,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
334,관광펜션업,03_11_02_P,5050000,CDFI3261092023000008,2023-07-20,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 시래동 2-1,경상북도 경주시 광산길 199-16 (시래동),38127,어디에서 왔니,2023-07-20 9:28,I,2023-07-22 0:18,,409254.9545,255516.6896,관광펜션업,,,0,,,,단독주택,0,0,0,0,,,0,0,,0,0,,0,150.9,,0,,,,,,,500000000,,,,151
335,관광펜션업,03_11_02_P,5050000,CDFI3261092023000009,2023-07-24,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 진현동 223-3,경상북도 경주시 진티5길 13-7 (진현동),38127,밤부,2023-07-24 10:11,I,2023-07-26 0:18,,411254.0545,255831.729,관광펜션업,,,0,,,,단독주택,0,0,0,0,,,0,0,,0,0,,0,223.2,,0,,,,,,,600000000,,,,223
336,관광펜션업,03_11_02_P,4160000,CDFI3261092023000009,2023-07-07,,01,영업/정상,13,영업중,,,,,,,,경기도 가평군 북면 제령리 622-12,"경기도 가평군 북면 가화로 1462-16, A동",12405,멍스타펜션,2023-07-07 17:14,I,2023-07-09 0:19,,244718.7447,488398.7902,관광펜션업,,전용주거지역,0,,,,,0,0,0,0,,,0,0,,0,0,,0,268.62,,0,,,,,,,0,,,,269
